Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ShowProductTestSuite,Firefox 60.0,,2018-05-10 22:23:59,2018-05-10 22:24:17,17.786s,PASSED
,,,,,,
Test Cases/ShowProductTest,Firefox 60.0,,2018-05-10 22:24:00,2018-05-10 22:24:17,17.398s,PASSED
openBrowser,Firefox 60.0,,2018-05-10 22:24:00,2018-05-10 22:24:04,3.817s,PASSED
navigateToUrl,Firefox 60.0,,2018-05-10 22:24:04,2018-05-10 22:24:14,10.117s,PASSED
setText,Firefox 60.0,,2018-05-10 22:24:14,2018-05-10 22:24:14,0.136s,PASSED
setText,Firefox 60.0,,2018-05-10 22:24:14,2018-05-10 22:24:14,0.081s,PASSED
click,Firefox 60.0,,2018-05-10 22:24:14,2018-05-10 22:24:14,0.274s,PASSED
click,Firefox 60.0,,2018-05-10 22:24:14,2018-05-10 22:24:16,1.255s,PASSED
click,Firefox 60.0,,2018-05-10 22:24:16,2018-05-10 22:24:16,0.249s,PASSED
click,Firefox 60.0,,2018-05-10 22:24:16,2018-05-10 22:24:16,0.255s,PASSED
click,Firefox 60.0,,2018-05-10 22:24:16,2018-05-10 22:24:16,0.229s,PASSED
click,Firefox 60.0,,2018-05-10 22:24:16,2018-05-10 22:24:16,0.232s,PASSED
click,Firefox 60.0,,2018-05-10 22:24:16,2018-05-10 22:24:17,0.236s,PASSED
closeBrowser,Firefox 60.0,,2018-05-10 22:24:17,2018-05-10 22:24:17,0.221s,PASSED
